metric,sparse_mean,sparse_std,dense_mean,dense_std,delta,better
recall@1,0.2533,0.4207,0.3,0.4412,0.0467,dense
precision@1,0.28,0.4505,0.3333,0.473,0.0533,dense
mrr@1,0.28,0.4505,0.3333,0.473,0.0533,dense
recall@2,0.3389,0.4571,0.4667,0.48,0.1278,dense
precision@2,0.2,0.2717,0.2633,0.2698,0.0633,dense
mrr@2,0.3267,0.4449,0.42,0.449,0.0933,dense
recall@3,0.4156,0.4792,0.54,0.476,0.1244,dense
precision@3,0.1622,0.1921,0.2111,0.1908,0.0489,dense
mrr@3,0.3511,0.4353,0.4467,0.4328,0.0956,dense
retrieval_time_ms,0.3984,0.4954,16.7811,14.8582,16.38,sparse
ttft_ms,2.1726,3.9987,1.6944,1.0363,-0.48,dense
