question_type,metric,sparse_mean,sparse_std,dense_mean,dense_std,delta,better
domain-relevant,recall@1,0.27,0.4311,0.27,0.4427,0.0,sparse
domain-relevant,precision@1,0.3,0.4629,0.28,0.4536,-0.02,sparse
domain-relevant,mrr@1,0.3,0.4629,0.28,0.4536,-0.02,sparse
domain-relevant,recall@2,0.3467,0.4541,0.4,0.4949,0.0533,dense
domain-relevant,precision@2,0.21,0.269,0.21,0.269,0.0,sparse
domain-relevant,mrr@2,0.35,0.4546,0.34,0.4454,-0.01,sparse
domain-relevant,recall@3,0.4267,0.4846,0.43,0.495,0.0033,dense
domain-relevant,precision@3,0.1733,0.2047,0.1533,0.1808,-0.02,sparse
domain-relevant,mrr@3,0.37,0.4458,0.3533,0.4399,-0.0167,sparse
metrics-generated,recall@1,0.07,0.2261,0.29,0.4052,0.22,dense
metrics-generated,precision@1,0.1,0.303,0.38,0.4903,0.28,dense
metrics-generated,mrr@1,0.1,0.303,0.38,0.4903,0.28,dense
metrics-generated,recall@2,0.15,0.3388,0.46,0.4385,0.31,dense
metrics-generated,precision@2,0.11,0.2533,0.31,0.2837,0.2,dense
metrics-generated,mrr@2,0.14,0.3201,0.48,0.4513,0.34,dense
metrics-generated,recall@3,0.22,0.3933,0.61,0.432,0.39,dense
metrics-generated,precision@3,0.1,0.1813,0.28,0.206,0.18,dense
metrics-generated,mrr@3,0.1667,0.3212,0.5267,0.4143,0.36,dense
novel-generated,recall@1,0.42,0.4882,0.34,0.4785,-0.08,sparse
novel-generated,precision@1,0.44,0.5014,0.34,0.4785,-0.1,sparse
novel-generated,mrr@1,0.44,0.5014,0.34,0.4785,-0.1,sparse
novel-generated,recall@2,0.52,0.4945,0.54,0.5035,0.02,dense
novel-generated,precision@2,0.28,0.2703,0.27,0.2517,-0.01,sparse
novel-generated,mrr@2,0.49,0.4791,0.44,0.4477,-0.05,sparse
novel-generated,recall@3,0.6,0.4845,0.58,0.4882,-0.02,sparse
novel-generated,precision@3,0.2133,0.1751,0.2,0.165,-0.0133,sparse
novel-generated,mrr@3,0.5167,0.4595,0.46,0.4346,-0.0567,sparse
